Animal,Symptom 1,Symptom 2,Symptom 3,Disease
cow,depression,painless lumps,loss of appetite,pneumonia
buffalo,painless lumps,loss of appetite,depression,lumpy virus
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,blisters on gums,difficulty walking,foot and mouth
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,chills,swelling in extremities,shortness of breath,anthrax
sheep,depression,swelling in limb,lameness,blackleg
sheep,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,crackling sound,lameness,depression,blackleg
sheep,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,fatigue,sweats,shortness of breath,anthrax
cow,shortness of breath,sweats,chills,anthrax
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,shortness of breath,sweats,swelling in extremities,anthrax
sheep,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,loss of appetite,sores on hooves,lameness,foot and mouth
goat,chest discomfort,shortness of breath,chills,anthrax
sheep,fatigue,sweats,swelling in extremities,anthrax
sheep,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,swelling in limb,loss of appetite,crackling sound,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,swelling in abdomen,shortness of breath,fatigue,anthrax
cow,swelling in limb,crackling sound,difficulty walking,blackleg
goat,swelling in abdomen,shortness of breath,chest discomfort,anthrax
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,sores on gums,loss of appetite,difficulty walking,foot and mouth
cow,blisters on gums,loss of appetite,difficulty walking,foot and mouth
sheep,painless lumps,loss of appetite,depression,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,shortness of breath,chest discomfort,chills,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
cow,painless lumps,loss of appetite,depression,lumpy virus
goat,loss of appetite,depression,painless lumps,pneumonia
buffalo,fatigue,shortness of breath,chills,anthrax
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,swelling in extremities,sweats,fatigue,anthrax
goat,chest discomfort,chills,swelling in extremities,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
buffalo,fatigue,chills,chest discomfort,anthrax
sheep,lameness,depression,swelling in limb,blackleg
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,crackling sound,depression,swelling in limb,blackleg
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,shortness of breath,swelling in abdomen,chills,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,depression,lameness,loss of appetite,blackleg
goat,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,crackling sound,swelling in muscle,loss of appetite,blackleg
sheep,painless lumps,loss of appetite,depression,lumpy virus
